FairnessFunction,MinMax,Proportional,Jain,Palma,Gini
proportional,1154.8636047072596,NaN,0.17468989900347923,-1.817568221177072e8,0.5535379496980626
efficiency,1129.6785203223371,NaN,0.3262130805529694,10.73736864405189,0.6716281630777938
min_max,1154.9936565745381,NaN,0.1309353006060616,-1.6056122645352802e8,0.5316309444111365
jain,1155.0000089887242,NaN,0.12893372213360843,-1.5148179225296992e8,0.5312791497491164
equality_min,1154.8566711000772,NaN,0.16788842685645092,-1.6002601284211072e8,0.5496054771764115
