FairnessFunction,Lower_Level_Load_Shed,Upper_Level_Load_Shed
proportional,2099.0246923183586,15171.837851823955
efficiency,2908.94216559423,2908.8311895710012
min_max,1724.0275514587574,586.1155881718557
jain,1705.2538285404444,1703.7789391795538
equality_min,2048.7832673562334,2048.7833226929815
