bus_id,vm_avg,z_voltage
1,1.03,0.9778376391968133
2,1.0300000116392158,0.9777425540670065
3,1.0314350237755923,0.9999999940394798
4,1.0295116257055745,0.9774231800050238
5,1.0314317845425205,0.9999999922214947
6,1.0500000052493716,1.0000000048162905
7,1.031963742663134,0.9999999921753344
8,1.0343951565498821,0.999999992119587
9,1.0343951461057002,0.9828105197851923
10,1.034395135806741,0.9828105028372155
11,1.0300030231391701,0.9777459882748357
12,1.0314320605008271,0.9824148446975162
13,1.0336167696891732,1.000000000477308
14,1.031967041679338,0.9999999915181615
15,1.0314320605023803,0.9823896462087204
16,1.0343951445610096,0.9828105141788591
17,1.0343951514310847,0.9828105228376078
