bus_id,vm_avg,z_voltage
1,1.03,0.977838874315191
2,1.0300000116381665,0.977742554065809
3,1.0317168560655985,0.9999999941132611
4,1.0295105755505995,0.9774234896379815
5,1.0317140867962238,0.9999999922910864
6,1.050000005249393,1.0000000048163245
7,1.0319872653374202,0.9999999921545998
8,1.0344420798137657,0.9999999921471694
9,1.0344420694071068,0.9828642558137234
10,1.0344420779817889,0.9828642625635643
11,1.0300030627438244,0.9777460334383745
12,1.0309203905495596,0.9999999922868912
13,1.0336637298403135,0.999999998376651
14,1.0319906044307297,0.9999999918020114
15,1.030920390549542,0.9830925951183004
16,1.0344420729577823,0.9828642566309406
17,1.034442074733753,0.9828642588643212
