load_id,efficiency,proportional,equality_min,min_max,jain
1,1.0003168229241424,1.0099999899999998,0.999999990006553,1.2945469089299384,1.920015558363799
2,1.0500791232556739,1.0099999899999998,1.2164285976082725,2.4312706282779586,9.999992593386462
3,1.0000305673595138,1.0099999899999998,1.615418746286307,1.0000002830668135,4.015919683053465
4,1.0497487571116324,1.0099999899999998,0.9999999900347738,1.7022263723234161,1.0000115466536013
5,1.0994343171413596,1.0099999899999998,1.0655970388902098,2.017826692965414,5.8394821279899105
6,1.002836237768245,1.0099999899999998,0.9999999900060639,3.096219676006984,3.0680961401407867
7,1.042715557079622,1.0099999899999998,0.9999999900449247,4.132153323906069,1.0000542348932244
8,1.0352253029785095,1.0099999899999998,0.9999999916899763,2.4061927116146733,1.0001665706826939
9,1.0004219803533063,1.0099999899999998,0.999999990003369,3.815464831777236,1.0001651462380772
10,1.0414258683033366,1.0099999899999998,1.4022321679941725,2.500912255166187,9.999910722524978
11,1.000421979871929,1.0099999899999998,0.9999999900085929,3.4709074133540567,9.99997496644605
12,1.0498182696784075,1.0099999899999998,0.9999999900313776,2.1974730177958754,9.999991804967472
13,4.016591010024841,1.0099999899999998,1.0490843019567992,3.9357706520225375,5.6993696360913235
14,1.0477721967402063,1.0099999899999998,7.433177850840247,2.394154260763613,5.29088835227974
15,1.0991759032541197,1.0099999899999998,1.540257725427426,1.162308321901031,5.743216761851461
