load_id,efficiency,min_max
1,10.000000099922778,9.999995567182793
2,10.000000099483769,9.999974335294137
3,10.00000009996971,10.000000099916479
4,10.000000099928132,9.9999965539675
5,10.000000099909135,9.999996863915971
6,10.000000099954567,9.999997676235443
7,10.000000099909009,9.999995366954606
8,9.000003066954509,6.021637360145853
9,10.000000099897019,9.999994069937014
10,9.000006300040916,6.037396946328421
11,10.000000099897019,9.999994070386467
12,10.000000099879214,9.999994163975332
13,8.00000044725983,7.000309737277403
14,9.000044342039194,6.9750796175226935
15,10.000000099909252,9.999995908128716
