alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_cost_weighted,palma_ratio_uncosted
0.0,570.7752364753928,7666.57997648545,4050.892229353389,6.483911300633173,1.2986402109304667
0.09090909090909091,654.7833113243344,9802.672765214016,4050.8922293532964,5.235376612731253,1.3335898475332044
0.18181818181818182,659.8754541612823,9828.133479398763,4076.3529435381274,5.189105692117505,1.2711992197227886
0.2727272727272727,820.654113646865,12404.774867335937,4076.3529435381274,3.7646518654803764,1.2420039883222083
0.36363636363636365,967.0820111610336,14299.037437871211,4138.038035002403,3.1134954104368946,1.1790976608652022
0.45454545454545453,1112.9165288675358,15670.022342287239,4183.048223585626,2.6562855664086564,1.159705796317553
0.5454545454545454,1163.5788522556493,15923.790074772827,4208.301974504995,2.525302678822609,1.3159147516553882
0.6363636363636364,1163.5788523721894,15923.790078045276,4208.3019768724025,2.525302678822609,1.3159147516553882
0.7272727272727273,1353.5591545202597,17627.954965976878,4208.3019768724025,2.2353120575840792,1.1289753305596892
0.8181818181818182,1353.5591545202597,17627.954965976878,4208.3019768724025,2.2353120575840792,1.1289753305596892
0.9090909090909091,1404.3163644478766,17881.741015614964,4234.302711979417,2.139276166857149,1.3558520691885287
1.0,1631.7731141807546,19176.5919517483,4259.713947807402,2.0395878066174733,2.0395878066174733
