case,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,relaxed_pshed_final,objective
motivation_a,proportional,3466.0,1579.9100207170268,1886.0899792829732,45.583093500202736,54.41690649979727,1573.5326049124715,1904.9508602149026
motivation_a,efficiency,3466.0,1586.663205658612,1879.3367943413882,45.77793438137946,54.222065618620555,1573.0174798874755,3972.365318888173
motivation_a,min_max,3466.0,1811.1924477032844,1654.8075522967156,52.255985219367695,47.744014780632305,1576.0887891785658,10642.882498072877
motivation_a,equality_min,3466.0,1586.6632242737264,1879.3367757262738,45.7779349184572,54.222065081542816,1575.8406389460063,10879.836921256794
motivation_a,jain,3466.0,1586.6632244154728,1879.3367755845275,45.77793492254682,54.22206507745319,1577.4246831455628,11381.554725839962
motivation_b,proportional,3466.0,1645.0767636763853,1820.9232363236147,47.463264964696634,52.53673503530336,1584.7037951537577,1839.132450477618
motivation_b,efficiency,3466.0,2294.8376134191926,1171.1623865808076,66.20997153546429,33.79002846453571,1582.2076332082838,9995.763106492659
motivation_b,min_max,3466.0,1652.156076415082,1813.8439235849182,47.667515187971205,52.3324848120288,1570.1273434049363,9545.387584363618
motivation_b,equality_min,3466.0,1645.1893877092464,1820.8106122907539,47.46651435975898,52.53348564024102,1582.470967201561,16849.521443487763
motivation_b,jain,3466.0,1645.0767655145373,1820.923234485463,47.46326501773045,52.536734982269564,1587.0085688467518,17703.453657877573
motivation_c,proportional,3466.0,1752.2710761645014,1713.7289238354983,50.55600335154361,49.443996648456384,1665.291661472288,1730.866195936564
motivation_c,efficiency,3466.0,1860.4742723543095,1605.5257276456905,53.677849750557115,46.32215024944289,1662.084507654442,6155.575424264181
motivation_c,min_max,3466.0,1765.0166720119983,1700.9833279880022,50.923735487939936,49.07626451206008,1655.6281173842833,8844.864711994573
motivation_c,equality_min,3466.0,1758.4003890509248,1707.5996109490748,50.73284446194244,49.26715553805755,1661.970597758684,13813.7414809841
motivation_c,jain,3466.0,2099.6011619532196,1366.3988380467804,60.577067569336975,39.422932430663025,1665.5921690457324,13956.192562755072
