Formulation,TotalServed_pct,TotalShed_kW,MaxShed_kW,ShedVariance,JainsIndex,PalmaRatio,GiniCoeff,CV_Served
Proportional,49.44,1752.27,408.2,20647.24,0.3362,7.4978,0.6961,1.4625
Efficiency,46.32,1860.47,948.87,66733.65,0.7999,1.5391,0.8486,0.519
Min-Max,49.08,1765.02,809.38,51009.84,0.6563,2.1096,0.7987,0.7491
Equality Min,49.27,1758.4,745.45,43662.81,0.6014,3.5101,0.7782,0.8448
Jain's Index,39.42,2099.6,1155.0,90870.41,0.7675,1.693,0.8345,0.5729
