config_id,switch_config,feasible,termination_status,total_pshed,total_pd_served,pct_served,pct_shed,jains,gini,palma,total_load_served_kw,sw_671692,sw_632633,sw_646611,sw_670671,sw_632645,sw_634675
1,000000,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,0.0,0.0,0.0,0.0
2,100000,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,0.0,0.0,0.0,0.0
3,010000,true,OPTIMAL,2866.0,600.0,17.311021350259665,82.68897864974033,0.2222222222222222,0.7777777777777777,Inf,600.0,0.0,1.0,0.0,0.0,0.0,0.0
4,110000,true,OPTIMAL,2866.0,600.0,17.311021350259665,82.68897864974033,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,1.0,0.0,0.0,0.0,0.0
5,001000,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,1.0,0.0,0.0,0.0
6,101000,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,1.0,0.0,0.0,0.0
7,011000,true,OPTIMAL,2866.0,600.0,17.311021350259665,82.68897864974033,0.2222222222222222,0.7777777777777777,Inf,600.0,0.0,1.0,1.0,0.0,0.0,0.0
8,111000,true,OPTIMAL,2866.0,600.0,17.311021350259665,82.68897864974033,0.2222222222222222,0.7777777777777777,Inf,600.0,1.0,1.0,1.0,0.0,0.0,0.0
9,000100,true,OPTIMAL,2716.1336993153595,749.8663006846402,21.634919234986736,78.36508076501326,0.23826506706901382,0.7782672752077373,Inf,749.8663006846402,0.0,0.0,0.0,1.0,0.0,0.0
10,100100,true,OPTIMAL,2661.753814498522,804.2461855014778,23.203871480134964,76.79612851986502,0.20596519370737684,0.8093299993082474,Inf,804.2461855014778,1.0,0.0,0.0,1.0,0.0,0.0
11,010100,true,OPTIMAL,2319.043130091676,1146.956869908324,33.091658104683326,66.90834189531668,0.3404517684810893,0.6853593081171137,Inf,1146.956869908324,0.0,1.0,0.0,1.0,0.0,0.0
12,110100,true,OPTIMAL,2265.529429555089,1200.4705704449111,34.63561945888376,65.36438054111625,0.3134162557312895,0.7069627820683553,Inf,1200.4705704449111,1.0,1.0,0.0,1.0,0.0,0.0
13,001100,true,OPTIMAL,2716.133373949471,749.8666260505283,21.63492862234646,78.36507137765352,0.23826494058421907,0.7782674010589843,Inf,749.8666260505283,0.0,0.0,1.0,1.0,0.0,0.0
14,101100,true,OPTIMAL,2660.89277353313,805.1072264668697,23.228713977693875,76.77128602230611,0.583712285981193,0.45835119075111264,7.3047852220159415,805.1072264668696,1.0,0.0,1.0,1.0,0.0,0.0
15,011100,true,OPTIMAL,2319.0428070589815,1146.957192941018,33.09166742472643,66.90833257527356,0.3404516561414566,0.6853594057268251,Inf,1146.957192941018,0.0,1.0,1.0,1.0,0.0,0.0
16,111100,true,OPTIMAL,2264.0693525707607,1201.9306474292391,34.677745165298305,65.32225483470168,0.663698860938321,0.39162230321296887,3.15461203770337,1201.9306474292391,1.0,1.0,1.0,1.0,0.0,0.0
17,000010,true,OPTIMAL,2981.548242242077,484.45175775792325,13.977257869530387,86.02274213046962,0.2845062582648497,0.7317630606519525,Inf,484.45175775792325,0.0,0.0,0.0,0.0,1.0,0.0
18,100010,true,OPTIMAL,2981.5482423380895,484.4517576619105,13.977257866760256,86.02274213323973,0.2845062583164845,0.7317630606405487,Inf,484.4517576619105,1.0,0.0,0.0,0.0,1.0,0.0
19,010010,true,OPTIMAL,2581.9850850794005,884.0149149219234,25.505335110268994,74.4946648897692,0.3944076276277828,0.6241028474855528,Inf,884.0149149219234,0.0,1.0,0.0,0.0,1.0,0.0
20,110010,true,OPTIMAL,2581.98508507952,884.0149149218036,25.505335110265538,74.49466488977265,0.3944076276276721,0.624102847485638,Inf,884.0149149218036,1.0,1.0,0.0,0.0,1.0,0.0
21,001010,true,OPTIMAL,2715.1008111021124,750.8991888978878,21.664719818173335,78.33528018182668,0.23841504394688293,0.7776024856740702,Inf,750.8991888978877,0.0,0.0,1.0,0.0,1.0,0.0
22,101010,true,OPTIMAL,2660.125846923079,805.8741530769217,23.250841115895028,76.74915888410499,0.5802507351210175,0.47239329635496197,11.143081186438176,805.8741530769216,1.0,0.0,1.0,0.0,1.0,0.0
23,011010,true,OPTIMAL,2318.0072810418183,1147.9927189581817,33.12154411304621,66.87845588695379,0.34058086973600804,0.6849182197206205,Inf,1147.9927189581817,0.0,1.0,1.0,0.0,1.0,0.0
24,111010,true,OPTIMAL,2263.3000316069256,1202.6999683930742,34.699941384681885,65.30005861531811,0.6814935462127407,0.3756900821727396,2.8945850860687354,1202.6999683930744,1.0,1.0,1.0,0.0,1.0,0.0
25,000110,true,OPTIMAL,2434.9122352697327,1031.0877647302673,29.748637182061955,70.25136281793804,0.41811326363564594,0.6139817411714144,Inf,1031.0877647302673,0.0,0.0,0.0,1.0,1.0,0.0
26,100110,true,OPTIMAL,2378.829482713679,1087.1705172863205,31.3667200601939,68.63327993980609,0.3861409759696226,0.6459593628020543,Inf,1087.1705172863205,1.0,0.0,0.0,1.0,1.0,0.0
27,010110,true,OPTIMAL,2038.2614159099821,1427.7385840900179,41.19268851961967,58.80731148038033,0.5204551435245154,0.5200341826053811,42.18215934671422,1427.7385840900179,0.0,1.0,0.0,1.0,1.0,0.0
28,110110,true,OPTIMAL,1982.4436620406682,1483.5563379593318,42.80312573454506,57.196874265454944,0.49076775578371074,0.5467373529701953,225.43298984150005,1483.5563379593318,1.0,1.0,0.0,1.0,1.0,0.0
29,001110,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.0,0.0
30,101110,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,1.0,0.0
31,011110,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.0,1.0,1.0,1.0,0.0
32,111110,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,0.0
33,000001,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,0.0,0.0,0.0,1.0
34,100001,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,0.0,0.0,0.0,1.0
35,010001,true,OPTIMAL,2783.1785531426117,682.8214468573883,19.700561074939074,80.29943892506093,0.3072132124078416,0.7124850894393495,Inf,682.8214468573883,0.0,1.0,0.0,0.0,0.0,1.0
36,110001,true,OPTIMAL,2666.465477377301,799.5345226226993,23.06793198565203,76.93206801434798,0.24767059540424793,0.7684397346004499,Inf,799.5345226226992,1.0,1.0,0.0,0.0,0.0,1.0
37,001001,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,0.0,0.0,1.0,0.0,0.0,1.0
38,101001,true,OPTIMAL,3266.0,200.0,5.770340450086555,94.22965954991345,0.1111111111111111,0.8888888888888888,Inf,200.0,1.0,0.0,1.0,0.0,0.0,1.0
39,011001,true,OPTIMAL,2783.178553142703,682.8214468572967,19.70056107493643,80.29943892506355,0.30721321240778043,0.7124850894394077,Inf,682.8214468572967,0.0,1.0,1.0,0.0,0.0,1.0
40,111001,true,OPTIMAL,2659.941294769993,806.058705230007,23.256165759665524,76.74383424033448,0.619436559927412,0.416567985895,5.7210172501620455,806.058705230007,1.0,1.0,1.0,0.0,0.0,1.0
41,000101,true,OPTIMAL,2716.1336992841566,749.8663007158436,21.634919235887008,78.365080764113,0.2382650671466546,0.7782672751112569,Inf,749.8663007158436,0.0,0.0,0.0,1.0,0.0,1.0
42,100101,true,OPTIMAL,2661.751081750755,804.2489182492451,23.20395032455987,76.79604967544013,0.21266381735321177,0.803320440929417,Inf,804.2489182492451,1.0,0.0,0.0,1.0,0.0,1.0
43,010101,true,OPTIMAL,2233.8765273961867,1232.1234726038133,35.54885956733448,64.45114043266551,0.43083719362983786,0.6056130498388852,Inf,1232.1234726038135,0.0,1.0,0.0,1.0,0.0,1.0
44,110101,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,0.0,1.0,0.0,1.0
45,001101,true,OPTIMAL,2716.133373911235,749.8666260887653,21.63492862344966,78.36507137655036,0.23826494061851586,0.7782674010433421,Inf,749.8666260887653,0.0,0.0,1.0,1.0,0.0,1.0
46,101101,true,OPTIMAL,2660.8927734754598,805.1072265245398,23.228713979357753,76.77128602064222,0.6260082424130409,0.4042385781994384,5.11812975378956,805.1072265245398,1.0,0.0,1.0,1.0,0.0,1.0
47,011101,true,OPTIMAL,2233.876200049417,1232.123799950583,35.548869011846016,64.45113098815398,0.4308370656251585,0.6056131537493246,Inf,1232.123799950583,0.0,1.0,1.0,1.0,0.0,1.0
48,111101,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,0.0,1.0
49,000011,true,OPTIMAL,2981.548242000634,484.451757999366,13.977257876496424,86.02274212350358,0.2845062579862493,0.7317630607914525,Inf,484.4517579993659,0.0,0.0,0.0,0.0,1.0,1.0
50,100011,true,OPTIMAL,2981.5482419293544,484.4517580706457,13.977257878552965,86.02274212144704,0.284506258078634,0.731763060728305,Inf,484.4517580706458,1.0,0.0,0.0,0.0,1.0,1.0
51,010011,true,OPTIMAL,2494.6386126528514,971.3613873471483,28.02542952530722,71.97457047469277,0.48515276211657626,0.5513630674959962,Inf,971.3613873471483,0.0,1.0,0.0,0.0,1.0,1.0
52,110011,true,OPTIMAL,2382.092292487635,1083.9077075123653,31.272582444095942,68.72741755590407,0.4242531883490885,0.6084853324643698,Inf,1083.9077075123653,1.0,1.0,0.0,0.0,1.0,1.0
53,001011,true,OPTIMAL,2715.100811102652,750.8991888973478,21.664719818157753,78.33528018184225,0.23841504395472574,0.777602485665178,Inf,750.8991888973479,0.0,0.0,1.0,0.0,1.0,1.0
54,101011,true,OPTIMAL,2660.125846922488,805.8741530775117,23.25084111591205,76.74915888408795,0.5802507488880616,0.4723932724800801,11.143044665997566,805.8741530775117,1.0,0.0,1.0,0.0,1.0,1.0
55,011011,true,OPTIMAL,2232.851058407442,1233.148941592558,35.5784460932648,64.4215539067352,0.43202392116416527,0.6044438257664508,Inf,1233.148941592558,0.0,1.0,1.0,0.0,1.0,1.0
56,111011,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,0.0,1.0,1.0
57,000111,true,OPTIMAL,2434.912235214655,1031.087764785345,29.748637183651038,70.25136281634896,0.4181132637095407,0.6139817411019381,Inf,1031.087764785345,0.0,0.0,0.0,1.0,1.0,1.0
58,100111,true,OPTIMAL,2378.8294826154724,1087.170517384528,31.366720063027355,68.63327993697266,0.3861409763016538,0.6459593621893007,Inf,1087.170517384528,1.0,0.0,0.0,1.0,1.0,1.0
59,010111,true,OPTIMAL,1950.9272828897915,1515.0727171102085,43.7124269218179,56.2875730781821,0.6128880558295718,0.44045971262279404,5.568877026959408,1515.0727171102083,0.0,1.0,0.0,1.0,1.0,1.0
60,110111,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,0.0,1.0,1.0,1.0
61,001111,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,1.0,1.0,1.0,1.0
62,101111,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,1.0,1.0,1.0,1.0
63,011111,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.0,1.0,1.0,1.0,1.0
64,111111,false,INFEASIBLE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,1.0,1.0,1.0,1.0,1.0
