metric,switch_config,jains,gini,palma,total_served_kw,pct_served,pct_shed
efficiency,010111,0.6128880558295718,0.44045971262279404,5.568877026959408,1515.0727171102083,43.7124269218179,56.2875730781821
gini,111010,0.6814935462127407,0.3756900821727396,2.8945850860687354,1202.6999683930744,34.699941384681885,65.30005861531811
jain,111010,0.6814935462127407,0.3756900821727396,2.8945850860687354,1202.6999683930744,34.699941384681885,65.30005861531811
palma,111010,0.6814935462127407,0.3756900821727396,2.8945850860687354,1202.6999683930744,34.699941384681885,65.30005861531811
