alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,gini_cost_weighted,gini_unweighted,gini_served_uncosted
0.0,200.33250064629857,2929.0874647101205,1554.3390879018357,0.6676496089483512,0.6750844235244462,0.31133885767514635
0.09090909090909091,200.33250064629857,2929.0874647101205,1554.3390879018357,0.6676496089483512,0.6750844235244462,0.31133885767514635
0.18181818181818182,200.33250064629857,2929.0874647101205,1554.3390879018357,0.6676496089483512,0.6750844235244462,0.31133885767514635
0.2727272727272727,200.33250064629857,2929.0874647101205,1554.3390879018357,0.6676496089483512,0.6750844235244462,0.31133885767514635
0.36363636363636365,200.33250064629857,2929.0874647101205,1554.3390879018357,0.6676496089483512,0.6750844235244462,0.31133885767514635
0.45454545454545453,200.33250064629857,2929.0874647101205,1554.3390879018357,0.6676496089483512,0.6750844235244462,0.31133885767514635
0.5454545454545454,359.0944691811317,5147.531233892277,1617.6080522491454,0.32308524920263126,0.4288593596961461,0.4263245700512823
0.6363636363636364,359.0944691811317,5147.531233892277,1617.6080522491454,0.32308524920263126,0.4288593596961461,0.4263245700512823
0.7272727272727273,359.0944691811317,5147.531233892277,1617.6080522491454,0.32308524920263126,0.4288593596961461,0.4263245700512823
0.8181818181818182,359.0944691811317,5147.531233892277,1617.6080522491454,0.32308524920263126,0.4288593596961461,0.4263245700512823
0.9090909090909091,509.68368827554366,6599.49099870901,1617.6080522491454,0.27291286371195156,0.29453856396506617,0.6639444600175004
1.0,439.4983847611667,6492.504672830416,1572.9231586982958,0.2582362006967458,0.3026209403534361,0.5847135546899669
