case,fair_func,n_periods,total_demand_all_periods,total_pshed_lower,total_pshed_upper,pct_shed,bilevel_iters_completed,bilevel_iters_total,bilevel_last_status,bilevel_early_stop,max_delta_weights,max_delta_pshed,weights_converged,bilevel_time_s,rounding_time_s
motivation_c,efficiency,3,18425.256,13308.185470606912,13230.341567877513,72.2279542309041,20,20,LOCALLY_SOLVED,false,0.500000094941182,5.43223558922827,false,130.28800010681152,25.925999879837036
motivation_c,min_max,3,18425.256,13430.024553733638,13230.300345475382,72.88921550796167,20,20,LOCALLY_SOLVED,false,0.5000000129168374,8.724930835693385,false,91.71600008010864,17.207000017166138
motivation_c,equality_min,3,18425.256,17095.7572323388,17095.7572323388,92.78436745920274,20,20,LOCALLY_SOLVED,false,4.440892098500626e-16,0.00025030409517512453,true,101.12899994850159,10.6010000705719
motivation_c,proportional,3,18425.256,13320.273282679853,13230.247881001033,72.29355881231638,20,20,LOCALLY_SOLVED,false,0.5000000941707512,10.831380973615069,false,101.28099989891052,15.49399995803833
motivation_c,jain,3,18425.256,17095.75724481817,17095.757244818178,92.78436752693243,20,20,LOCALLY_SOLVED,false,4.993783164763954e-13,2.0528611628378712e-6,true,99.91400003433228,8.8989999294281
motivation_c,palma,3,18425.256,16411.874988271786,16411.87499254537,89.07271078497789,20,20,OPTIMAL,false,1.6299143767994906e-7,1.2271841569599928e-6,true,116.72300004959106,12.453999996185303
