case,fair_func,period,n_feasible_samples,total_load_shed,best_mld_obj,any_ac_feasible
motivation_c,efficiency,1,5,4532.18395422778,16788.880625513102,true
motivation_c,efficiency,0,5,4336.076309826669,16670.35706833215,true
motivation_c,efficiency,2,5,4532.18395422778,16788.880625513102,true
motivation_c,min_max,1,5,4532.183957372315,16788.878218647704,true
motivation_c,min_max,0,5,4336.076309801554,16670.354485934546,true
motivation_c,min_max,2,5,4532.183957372315,16788.878218647704,true
motivation_c,equality_min,1,5,5852.6719967744475,358.3999996925915,true
motivation_c,equality_min,0,5,5656.711998989316,346.3999975979287,true
motivation_c,equality_min,2,5,5852.6719967744475,358.3999996925915,true
motivation_c,proportional,1,5,4532.183954894468,16788.88061766354,true
motivation_c,proportional,0,5,4336.076309801285,16670.35706732824,true
motivation_c,proportional,2,5,4532.183954894468,16788.88061766354,true
motivation_c,jain,1,5,5852.6719967744475,358.40001122591906,true
motivation_c,jain,0,5,5656.71199894902,346.4000092510241,true
motivation_c,jain,2,5,5852.6719967744475,358.40001122591906,true
motivation_c,palma,1,4,5852.6719967744475,358.4000031952567,true
motivation_c,palma,0,4,5656.711998949018,346.40003564814896,true
motivation_c,palma,2,2,5852.6719967744475,358.40000320251755,true
