load_id,palma
1,1.0
2,10.0
3,10.0
4,10.0
5,1.6822969986596608
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,10.0
13,1.0882353503496578
14,1.0
15,1.0
