Period,LoadScale,TotalLoadRef,TotalServed,TotalShed,PctServed,PctShed
1,0.8,2772.8,2772.8,-0.0,100.0,-0.0
2,1.0,3466.0,2772.8,693.2,80.0,20.0
3,0.9,3119.4,2772.8,346.6,88.89,11.11
