TestName,GenSoln,LoadReference,LoadServedSetting,LoadServed,LoadServedPercentage
ContSwitch_ModelA,3119.400031107958,3466.0,0.9,3119.4000311079585,90.00000089751755
IntSwitch_ModelA,2053.0,3466.0,0.9,2053.0,59.23254472013849
ImpDiff_ModelA,3119.400031107958,3466.0,0.9,3119.4000311079585,90.00000089751755
LLSoln_ModelA,3119.400031107958,3466.0,0.9,3119.4000311079585,90.00000089751755
ContSwitch_ModelB,3119.4000311071704,3466.0,0.9,3119.4000311071704,90.00000089749481
IntSwitch_ModelB,2053.0,3466.0,0.9,2053.0,59.23254472013849
ImpDiff_ModelB,3119.400031107662,3466.0,0.9,3119.400031107661,90.00000089750898
LLSoln_ModelB,3119.4000311071704,3466.0,0.9,3119.4000311071704,90.00000089749481
