alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_cost_weighted,palma_ratio_uncosted
0.0,125.55010316398685,1778.3399467168904,466.0813466095931,6.087200796182968,2.0036222352032067
0.09090909090909091,130.53257159347024,1860.2121831425582,371.2009593933574,1.333954292797967,2.0009457697242867
0.18181818181818182,155.7863642088713,2529.3113707039943,482.0237787652648,1.0349610492652312,2.333400831233671
0.2727272727272727,137.10685239132124,1975.1516593513295,381.87060302297573,1.0347064634640641,2.1618267760895074
0.36363636363636365,137.10685312039203,1975.1517168229586,381.87058963511237,1.0347064108466493,2.161826743463251
0.45454545454545453,161.0387651725229,2229.2946440697783,422.54634487228316,0.9754300281261657,2.351000226816026
0.5454545454545454,161.71691997468795,2239.4129947181586,422.00030455670674,0.9741694434689603,2.3437785783168623
0.6363636363636364,137.6249976200377,1994.0511882151402,369.9300194355639,0.964511832013389,2.1412049661317787
0.7272727272727273,140.59615406060396,2061.283311337836,387.0542680992864,0.9578389844794134,2.180317248300753
0.8181818181818182,149.9170507057225,2107.8878312759966,395.38373716413497,0.9535893619123346,2.2279342846482333
0.9090909090909091,152.35306192408376,2120.0710907796515,397.4433121761894,0.9527061181152201,2.2472467787785613
1.0,167.54589231287883,2206.7945292052523,409.9284312737949,0.9522220109641755,2.353772640244217
