config_bits,fair_func,period,total_pshed,obj_efficient,obj_jain,obj_min_max,obj_proportional,obj_equality_min,obj_palma
000000,efficient,1,3433.273304390388,3433.273304390388,0.41772888870649805,1154.999988931334,-Inf,1.3961851091521896e7,3.4506461214504354
000000,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
100000,efficient,1,3433.272539248791,3433.272539248791,0.4177296764437906,1154.9974573373204,-Inf,1.3961778134198226e7,3.450634390860444
100000,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
010000,efficient,1,3389.152545433134,3389.152545433134,0.4095299456547844,1154.999984030229,-Inf,1.4052430898298264e7,3.6541778459406307
010000,efficient,2,2866.0,2866.0,0.30187968335907817,1155.0,-Inf,1.5205028e7,Inf
110000,efficient,1,3389.152375183083,3389.152375183083,0.4095300991817721,1154.9998357396641,-Inf,1.4052426269482156e7,3.654175570787139
110000,efficient,2,2866.0,2866.0,0.30187968335907817,1155.0,-Inf,1.5205028e7,Inf
001000,efficient,1,3433.2732894218598,3433.2732894218598,0.4177288944729986,1155.0000004670505,-Inf,1.396185140424084e7,3.4506459957917945
001000,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
101000,efficient,1,3433.273234439046,3433.273234439046,0.4177289117034801,1154.999981711914,-Inf,1.3961850872301783e7,3.450645653624981
101000,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
011000,efficient,1,3389.152530579874,3389.152530579874,0.4095299492163358,1155.0000004667604,-Inf,1.4052431358088775e7,3.654177722438673
011000,efficient,2,2866.0,2866.0,0.30187968335907817,1155.0,-Inf,1.5205028e7,Inf
111000,efficient,1,3389.1524756261206,3389.1524756261206,0.40952996612824344,1154.9999817598807,-Inf,1.405243082576639e7,3.6541773597554923
111000,efficient,2,2866.0,2866.0,0.30187968335907817,1155.0,-Inf,1.5205028e7,Inf
000100,efficient,1,3358.2645618102397,3358.2645618102397,0.42459959436899436,1109.9956839000079,-Inf,1.2797904980219932e7,3.406141740083057
000100,efficient,2,1813.0,1813.0,0.4480763004661428,485.0,-Inf,2.259299e6,Inf
100100,efficient,1,3295.3465783956544,3295.3465783956544,0.4168692088511592,1109.9926952825833,-52.80785797997149,1.290339075157536e7,3.3848581070750576
100100,efficient,2,1098.0,1098.0,0.4428687928412422,230.0,-Inf,470134.0,Inf
010100,efficient,1,3314.141936189004,3314.141936189004,0.41618103795026046,1109.995100553164,-Inf,1.2884500719801772e7,3.5539119135231036
010100,efficient,2,1413.0,1413.0,0.3062346859189829,485.0,-Inf,2.592899e6,Inf
110100,efficient,1,3251.228942292805,3251.228942292805,0.40844811576817663,1109.9934084547551,-Inf,1.2990014346961718e7,3.5325621669888525
110100,efficient,2,1098.0,1098.0,0.4428687928412422,230.0,-Inf,470134.0,Inf
001100,efficient,1,3313.250826508064,3313.250826508064,0.41748602978602156,1109.9938094644708,-Inf,1.2880001829613166e7,3.406143721019257
001100,efficient,2,1413.0,1413.0,0.3268383716104889,485.0,-Inf,2.565499e6,Inf
101100,efficient,1,3250.3380515589583,3250.3380515589583,0.4097543149294322,1109.9923317035712,-16.472746348098443,1.2985520997130407e7,3.3848545308935054
101100,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
111100,efficient,1,3206.2099706348286,3206.2099706348286,0.4013524401990879,1109.9914225678865,39.46786545722299,1.3072116984545328e7,3.5325756924170255
111100,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
000010,efficient,1,3388.268770685402,3388.268770685402,0.4107304651063073,1154.9999840504745,-Inf,1.404803486823423e7,3.450650117467716
000010,efficient,2,2866.0,2866.0,0.30650953770695755,1155.0,-Inf,1.5177628e7,24.11764705882353
100010,efficient,1,3388.268600333431,3388.268600333431,0.4107306196945704,1154.999835978037,-Inf,1.404803024559783e7,3.450647995209274
100010,efficient,2,2866.0,2866.0,0.30650953770695755,1155.0,-Inf,1.5177628e7,24.11764705882353
010010,efficient,1,3343.897559892309,3343.897559892309,0.40251226111515936,1154.9999834959667,-Inf,1.4139103033367664e7,3.654107139804304
010010,efficient,2,2466.0,2466.0,0.23404931882657357,1155.0,-Inf,1.6047228e7,Inf
001010,efficient,1,3313.2530560274267,3313.2530560274267,0.4174872796402678,1109.9918311681758,-Inf,1.2879941221689673e7,3.4061404525246366
001010,efficient,2,1413.0,1413.0,0.3268383716104889,485.0,-Inf,2.565499e6,Inf
101010,efficient,1,3250.3309689345965,3250.3309689345965,0.40975497746737993,1109.9887810025784,-Inf,1.2985431291261597e7,3.3848435526544245
101010,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
111010,efficient,1,3205.9133998920092,3205.9133998920092,0.4013423504058846,1109.9116413555178,39.48161383463544,1.30703572777128e7,3.532185495934995
111010,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
000110,efficient,1,3313.258630788251,3313.258630788251,0.41748677592292194,1109.9951076574305,-Inf,1.2880024257851446e7,3.406144363330495
000110,efficient,2,1413.0,1413.0,0.3268383716104889,485.0,-Inf,2.565499e6,Inf
100110,efficient,1,3250.346265245065,3250.346265245065,0.4097552086937467,1109.993407305298,-Inf,1.2985536527113564e7,3.3848507717660343
100110,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
110110,efficient,1,3205.973606453188,3205.973606453188,0.40131258540378895,1109.9928940894956,39.47948190540924,1.3072599076954644e7,3.5325028002891568
110110,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
000001,efficient,1,3433.273254768756,3433.273254768756,0.4177289062189327,1154.9999889545131,-Inf,1.3961851073549075e7,3.450647159548123
000001,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
100001,efficient,1,3433.27315455293,3433.27315455293,0.4177288954642876,1155.000011548544,-Inf,1.3961851871420566e7,3.450645032935112
100001,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
110001,efficient,1,3251.2138385568373,3251.2138385568373,0.4084478235544085,1109.9882779874852,-Inf,1.2989895593613287e7,3.532556683933219
110001,efficient,2,1098.0,1098.0,0.4428687928412422,230.0,-Inf,470134.0,Inf
001001,efficient,1,3433.2732857176843,3433.2732857176843,0.417729530501067,1154.9985252641036,-Inf,1.396180755680568e7,3.4506431240155817
001001,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
101001,efficient,1,3433.273147551504,3433.273147551504,0.4177287353262072,1154.9999777033859,-Inf,1.3961851660711389e7,3.4506429006036314
101001,efficient,2,3266.0,3266.0,0.38061071093798227,1155.0,-Inf,1.4335428e7,5.324675324675325
111001,efficient,1,3206.1875642015298,3206.1875642015298,0.4013516526757042,1109.9847131348477,39.468800528649126,1.3071965806034975e7,3.532557665191301
111001,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
000101,efficient,1,3358.2645519035623,3358.2645519035623,0.4245996090072507,1109.995683901525,-Inf,1.279790493075813e7,3.4061415542365507
000101,efficient,2,1813.0,1813.0,0.4480763004661428,485.0,-Inf,2.259299e6,Inf
100101,efficient,1,3251.2397215139213,3251.2397215139213,0.40844936022863276,1109.994500788837,3.269071571356898,1.2990025873580128e7,3.5325576386193673
100101,efficient,2,1098.0,1098.0,0.4428687928412422,230.0,-Inf,470134.0,Inf
001101,efficient,1,3313.2508211935474,3313.2508211935474,0.4174860247748782,1109.9938094631686,-Inf,1.2880001856794175e7,3.4061438444656384
001101,efficient,2,1413.0,1413.0,0.3268383716104889,485.0,-Inf,2.565499e6,Inf
101101,efficient,1,3206.200887762699,3206.200887762699,0.4013511386785113,1109.990786509479,39.468393612897806,1.3072115908550074e7,3.53259652533736
101101,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
011101,efficient,1,3206.217255941293,3206.217255941293,0.40135297715321666,1109.9927559059313,39.467408384602635,1.3072142137928708e7,3.5325720515317305
011101,efficient,2,770.0,770.0,0.38891184708529297,170.0,-Inf,273504.0,Inf
