load_id,efficiency,proportional,equality_min,min_max,jain
1,10.0000000999358,1.0099999899999998,16.736481433707368,4.116641038827832,1.0000021806629258
2,10.00000009956992,1.0099999899999998,10.000000099994821,4.116599905369011,2.831281486890362
3,10.000000099974944,1.0099999899999998,20.276782283704666,4.442146917337015,10.00000003433233
4,10.00000009994043,1.0099999899999998,22.531114474204156,4.116681569886098,1.0001049826316475
5,10.000000099919456,1.0099999899999998,13.104175895258166,1.0000000742313744,1.000002515838201
6,10.000000099963588,1.0099999899999998,12.106592596195213,4.117845626122053,1.0000008758358578
7,10.000000099930041,1.0099999899999998,13.70476580958598,4.117872378886817,1.000002821371496
8,10.000000099940705,1.0099999899999998,12.435216702045444,4.11661536693319,1.0000017982237965
9,10.000000099914375,1.0099999899999998,10.200000202977499,4.116627657474148,1.0000029124437964
10,10.000000099894876,1.0099999899999998,10.200000202941872,4.116602531045488,1.0000031968961314
11,10.000000099914377,1.0099999899999998,10.20000020299031,4.116628011007465,1.0000029124383927
12,10.000000099899408,1.0099999899999998,18.43442266038472,4.116644141490306,1.0000683557628796
13,10.000000099962321,1.0099999899999998,11.25843947792409,4.116752065922064,1.0000004677266776
14,10.000000099592574,1.0099999899999998,10.000000099991544,4.116585000393651,1.000012464391788
15,10.000000099924565,1.0099999899999998,14.121696216920977,4.116656830687245,1.0000028228451643
