Formulation,TotalServed_pct,TotalShed_kW,MaxBusShed_pct,ShedVariance_pct,JainsIndex,PalmaRatio,GiniCoeff,CV_Served
Efficiency,77.53,778.75,100.0,2196.43,0.6404,4.8412,0.7691,0.8012
Proportional,77.53,778.75,100.0,2196.43,0.6404,4.8412,0.7691,0.8012
Equality Min,77.41,782.98,100.0,1926.94,0.7752,2.7546,0.8283,0.5816
Min-Max,77.51,779.52,100.0,1888.15,0.807,1.936,0.8494,0.5282
Jain's Index,77.41,782.98,100.0,1926.94,0.6783,2.7546,0.7814,0.7362
