FairnessFunction,Lower_Level_Load_Shed,Upper_Level_Load_Shed
proportional,1504.5273780230757,1456.495400299807
efficiency,1504.5273780230757,654.2718520686154
min_max,1504.5273780230757,1470.3616975807695
jain,1504.5273780230757,1424.2923893810805
equality_min,1504.5273780230757,1398.0834778510066
