alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_ratio
0.0,3333.8336657457385,57529.43810815417,25380.523094045642,6.518124024064805
0.1111111111111111,3333.833665745762,57529.43810815472,25380.523094045642,6.518124024064805
0.2222222222222222,3333.833665745762,57529.43810815472,25380.523094045642,6.518124024064805
0.3333333333333333,3333.833665745762,57529.43810815472,25380.523094045642,6.518124024064805
0.4444444444444444,3333.833665745762,57529.43810815472,25380.523094045642,6.518124024064805
0.5555555555555556,4046.3262865674724,61099.02613847148,25411.29241671868,4.09447376757052
0.6666666666666666,4768.760161982845,64711.195515548345,25559.820403548016,3.112855816354441
0.7777777777777778,4768.760161982835,64711.195515548294,25559.820403547987,3.112855816354441
0.8888888888888888,4944.734602877404,65592.82746443008,25559.820403547987,3.022003235021316
1.0,4944.734602877404,65592.82746443008,25559.820403547987,3.022003235021316
