criterion,approach,weighted_shed,fairness_metric
jain,efficiency_MILP,309838.78595999995,0.3061256034724634
jain,fairness_MILP,359072.55455999996,1.5319905781068948
jain,bilevel,1.8648951878533675e6,0.21264662426248448
min_max,efficiency_MILP,309838.78595999995,74650.6762
min_max,fairness_MILP,316651.25315999996,74650.6762
min_max,bilevel,1.8656723231253668e6,1.517333537164326e6
proportional,efficiency_MILP,309838.78595999995,-12763.561811018339
proportional,fairness_MILP,342931.35375999997,-1446.0057954833935
proportional,bilevel,877067.3001131462,-2845.353306867085
palma,efficiency_MILP,309838.78595999995,15.397350993377483
palma,fairness_MILP,355706.62411999993,5.992268041237113
palma,bilevel,1.8341047231628483e6,61.21314673982985
