FairnessFunction,Lower_Level_Load_Shed,Upper_Level_Load_Shed
proportional,1446.9399771019932,1401.6386911153124
efficiency,1446.9399771019932,1390.7726716001212
min_max,1446.9399771019932,1441.1568778880685
jain,1446.9399771019932,1452.4489115821982
equality_min,1446.9399771019932,1445.8139985730575
