alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_cost_weighted,palma_ratio_uncosted
0.0,125.529046317461,1777.8524788995196,470.74299691811206,1.8175785632780495,2.034608855592573
0.09090909090909091,134.73378103316733,1969.8389769023322,499.2464176961446,0.6126175731718468,2.115858757174027
0.18181818181818182,133.8704151396433,1951.92306553955,558.5506624122505,0.6044178923087592,2.1807170793204733
0.2727272727272727,137.70795660951003,2008.1395340478693,584.0229483120613,0.5839689765109187,2.2410900905465874
0.36363636363636365,141.81573381658254,2062.5483535219287,642.5932169722595,0.5683470507744597,2.1218448657371227
0.45454545454545453,NaN,NaN,NaN,NaN,NaN
0.5454545454545454,142.3717943540372,2035.892038777488,622.856099331967,0.551779641647954,2.125225687736573
0.6363636363636364,147.40694379462252,2085.761253971965,612.1343979897391,0.5459151001525684,2.1661253600353163
0.7272727272727273,152.4692900741558,2126.7687773801013,655.3269571922061,0.5420651338010414,2.2000508456082923
0.8181818181818182,152.82254747931182,2127.9224379542316,667.0293342666766,0.5418308152827912,2.201541621547284
0.9090909090909091,154.8861706612958,2125.4901109975694,723.8260895575119,0.541322152083252,2.2015963247030674
1.0,154.85170225303457,2124.776718753371,723.475501962161,0.5413084636328651,2.201190501563711
