load_id,efficiency,proportional,equality_min,min_max,jain
1,1.000013777669494,7.883640407592221,1.0000003861101625,3.871386815549142,1.80244085434168
2,1.0004199578056725,1.003149223377657,1.4993521306673967,4.075641374432283,9.999738477251219
3,1.000012812283103,7.037205051206297,1.5152735364598593,3.969186382500744,3.9808578969769908
4,1.0000565890906072,7.760642680133478,1.069940248907372,4.459911527399993,1.06231940520851
5,1.000024625326792,1.1202812062058596,1.0786477977925086,3.929890637518318,4.378796784216775
6,1.0000215640454324,9.995722394074923,1.7333627424642821,4.0504252515406876,3.78191127949537
7,1.0000410076162483,9.992417984046353,1.0000319830806483,4.042824889255872,1.0002151230283562
8,1.0000388000020688,9.971318721238651,1.000004131285296,4.063405490342022,1.0005367485829226
9,1.0000183750946203,1.0048737330908437,2.51894097152013,3.906972871117406,1.0005641377742596
10,1.0000691619197568,7.8216094649943875,1.3018062306441438,4.042911555796522,9.995480526877373
11,1.0000183749492833,9.969015292451168,1.0523188399866041,3.9069729100174317,9.99834261329312
12,1.000094833480325,1.001151632668547,2.363892759159383,4.275831580441528,9.999724658551834
13,9.999970227394558,5.559608016837962,1.7726251559303767,3.6947020235514945,5.471143117539275
14,1.000264857375948,9.742108023933042,9.999999666572487,4.023347578607769,7.743334987280239
15,1.0000488899808773,9.998976144996622,2.4666800836196923,4.002578839166767,6.563600664855254
