case,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,relaxed_pshed_final,objective
motivation_a,efficiency,3466.0,793.003177402838,2672.9968225971616,22.879491558073802,77.12050844192618,693.1904835901223,11789.634036181877
motivation_a,proportional,3466.0,779.524554210984,2686.475445789016,22.490610334996653,77.50938966500334,693.1936311122008,9990.713345010008
motivation_a,equality_min,3466.0,779.5245533973952,2686.4754466026043,22.49061031152323,77.50938968847674,693.1918721747998,4383.884358665081
motivation_a,min_max,3466.0,778.7521749105393,2687.247825089461,22.468325877395827,77.53167412260419,693.191825944632,4170.419595429366
motivation_a,jain,3466.0,778.7521744190609,2687.247825580939,22.46832586321584,77.53167413678416,693.1943897772871,12124.881607869624
motivation_b,efficiency,3466.0,1372.6271623496912,2093.3728376503086,39.60263018896974,60.39736981103025,693.1894535458414,3623.440408714197
motivation_b,proportional,3466.0,1312.9884111992624,2153.0115888007376,37.88195069818991,62.11804930181009,693.1928886233509,7684.995049722292
motivation_b,equality_min,3466.0,1298.4537895368258,2167.5462104631733,37.462602121662606,62.53739787833737,693.1907616865992,3297.2635568228206
motivation_b,min_max,3466.0,1372.6271518785243,2093.3728481214757,39.60262988685875,60.39737011314125,693.1939779346576,8418.682048920848
motivation_b,jain,3466.0,1298.4537942177994,2167.546205782201,37.46260225671666,62.53739774328335,693.1934309814824,8729.914302748311
motivation_c,efficiency,3466.0,1592.0502422186873,1873.9497577813129,45.933359556222946,54.06664044377706,693.1884924676269,3404.0059347802485
motivation_c,proportional,3466.0,1483.885199876716,1982.114800123284,42.81261396066694,57.18738603933306,693.1923019371279,6790.631765246053
motivation_c,equality_min,3466.0,1483.885198942461,1982.1148010575387,42.81261393371209,57.18738606628791,693.1904094615857,3727.614475416831
motivation_c,min_max,3466.0,1298.2782497385867,2167.721750261413,37.45753749967071,62.542462500329286,693.1933188030962,8344.061085371986
motivation_c,jain,3466.0,1483.8851990962717,1982.1148009037283,42.81261393814979,57.18738606185021,693.1934233477223,8776.724435125165
