Formulation,TotalServed_pct,TotalShed_kW,MaxShed_kW,ShedVariance,JainsIndex,PalmaRatio,GiniCoeff,CV_Served
Efficiency,16.53,326.98,100.0,1991.24,0.7831,1.3694,0.8497,0.5626
Proportional,14.72,389.73,100.0,2042.9,0.8216,1.9628,0.8601,0.5033
Equality Min,14.72,389.73,100.0,2042.9,0.8216,1.9628,0.8601,0.5033
Min-Max,14.72,389.73,100.0,2042.9,0.8216,1.9628,0.8601,0.5033
Jain's Index,14.72,389.73,100.0,2042.9,0.8216,1.9628,0.8601,0.5033
