Formulation,TotalServed_pct,TotalShed_kW,MaxShed_kW,ShedVariance,JainsIndex,PalmaRatio,GiniCoeff,CV_Served
Efficiency,18.04,274.61,100.0,1478.96,0.8843,0.7975,0.8983,0.3868
Proportional,16.0,345.49,100.0,1781.09,0.9073,1.1611,0.9038,0.3452
Equality Min,16.0,345.49,100.0,1781.09,0.9073,1.1611,0.9038,0.3452
Min-Max,16.0,345.49,100.0,1781.09,0.9073,1.1611,0.9038,0.3452
Jain's Index,16.0,345.49,100.0,1781.09,0.9073,1.1611,0.9038,0.3452
