load_id,efficiency,proportional,min_max,equality_min,jain
1,1.0001243727554034,1.0099999899999998,2.4239982849594996,9.887866467355988,9.951480699589466
2,1.0018035836659827,1.0099999899999998,2.4231540984660853,8.96119708644773,9.322797641152498
3,1.0000216385682188,1.0099999899999998,2.423900111199753,9.984431451661953,10.000146586448743
4,1.00002936127678,1.0099999899999998,2.424409913011004,9.975132441456047,9.992327124360724
5,1.0001755776431065,1.0099999899999998,2.4240108923453483,9.841585675784623,9.929044807340695
6,1.0001041135056232,1.0099999899999998,2.4239452605218257,9.907322168053364,9.962308245476551
7,1.000136772486923,1.0099999899999998,2.4239757349056603,9.877137854015738,9.947140524539261
8,1.000108428944725,1.0099999899999998,1.3662210342453904,9.901202440133801,9.956372042273577
9,1.0002207410168555,1.0099999899999998,2.4237358934218793,9.801742615048738,9.909900817280212
10,1.000339929933632,1.0099999899999998,2.361991348484689,9.697334923329281,9.853148129929123
11,1.0002207410168023,1.0099999899999998,2.42373589281513,9.801742613795556,9.909900817285687
12,1.000082374392566,1.0099999899999998,2.42382220619416,9.927441387490465,9.972195823815182
13,1.000142381835442,1.0099999899999998,2.423811135775225,9.872195245601638,9.944970212513788
14,1.0184867819960348,1.0099999899999998,1.0018606439619042,8.170736501988786,3.270711212220338
15,1.0001367725823087,1.0099999899999998,2.4239757360644067,9.877137769751352,9.947140487565079
