case,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,relaxed_pshed_final,objective
motivation_a,efficiency,3466.0,134.67045590099448,3331.3295440990055,3.88547189558553,96.11452810441446,66.93998305511548,4878.395935473775
motivation_a,proportional,3466.0,82.32155686929748,3383.6784431307024,2.37511704758504,97.62488295241496,67.14336668182567,3417.515193725224
motivation_a,min_max,3466.0,82.32155684688962,3383.6784431531105,2.3751170469385348,97.62488295306146,78.93329419970023,29114.2603870399
motivation_a,equality_min,3466.0,82.32158785141638,3383.678412148584,2.3751179414719092,97.6248820585281,70.50185419837646,25068.46423559296
motivation_a,jain,3466.0,134.67045577158854,3331.3295442284107,3.8854718918519486,96.11452810814804,-24.38591509787496,4957.152216858642
motivation_b,efficiency,3466.0,123.65319937589176,3342.3468006241083,3.567605290706629,96.43239470929336,-0.003638878397796576,3343.0518057392005
motivation_b,proportional,3466.0,123.65319937587849,3342.3468006241214,3.567605290706246,96.43239470929376,-0.0036705178288826295,3375.770235206895
motivation_b,min_max,3466.0,123.6531994091117,3342.346800590888,3.567605291665081,96.43239470833491,-0.007231018957874004,7949.673834333593
motivation_b,equality_min,3466.0,123.6531994115892,3342.3468005884106,3.5676052917365606,96.43239470826343,-0.0003482618149319169,33083.7006032106
motivation_b,jain,3466.0,123.65319938277969,3342.3468006172197,3.5676052909053575,96.43239470909462,-0.00017026951297054586,33169.6276284851
motivation_c,efficiency,3466.0,123.65251928537735,3342.3474807146226,3.567585668937604,96.4324143310624,-0.0036422706968493633,3343.05236049951
motivation_c,proportional,3466.0,123.65251832060086,3342.3474816793987,3.5675856411021596,96.43241435889782,-0.003673940192148547,3375.7709230727182
motivation_c,min_max,3466.0,123.65251934827495,3342.347480651725,3.567585670752307,96.43241432924769,-0.00723803566667263,7949.8316645938
motivation_c,equality_min,3466.0,123.65251939223985,3342.34748060776,3.567585672020769,96.43241432797923,-3.2190790971943605e-5,33425.146059595376
motivation_c,jain,3466.0,123.65251939880133,3342.3474806011986,3.567585672210079,96.43241432778991,-0.00015752776090184245,33185.47249663509
