load_id,efficiency,proportional,min_max,equality_min,jain
1,1.0001244946761882,1.0099999899999998,2.4239190951509366,10.000500025108224,9.955604327746343
2,1.0018033927237786,1.0099999899999998,2.4231402956202657,10.000499888452339,9.369789017418851
3,1.00002156250382,1.0099999899999998,2.4239591300319785,10.000500035346748,10.000878705285386
4,1.0000293589418296,1.0099999899999998,2.4243006479231712,10.000500034568361,9.993320027657855
5,1.000173595192634,1.0099999899999998,2.4240844514212205,10.00050002021111,9.935658226933162
6,1.0001046598416496,1.0099999899999998,2.424055337839423,10.000500027081378,9.965623449201159
7,1.000139036698662,1.0099999899999998,2.4240755720010787,10.00050002365926,9.950922026205628
8,1.0001084334810315,1.0099999899999998,1.36642838469646,10.000500026706819,9.959969169967176
9,1.000220957137299,1.0099999899999998,2.423676960974312,10.000500015483269,9.917190754030564
10,1.000339944016048,1.0099999899999998,2.3636634455649874,10.000500003699392,9.864420038467815
11,1.0002209571372307,1.0099999899999998,2.4236769605035158,10.000500015483269,9.917190754033097
12,1.0000823677764763,1.0099999899999998,2.4237576364074185,10.000500029295782,9.974964815298243
13,1.0001423702254593,1.0099999899999998,2.42374740072579,10.000500023326891,9.949742174281123
14,1.0184895667556735,1.0099999899999998,1.0018607227298817,10.000499532228249,3.480481427969451
15,1.0001348451624577,1.0099999899999998,2.424050402783992,10.000500024077063,9.952405895636387
