load_id,efficiency,palma
1,10.00000009993611,5.0
2,10.000000099572928,5.000288781565672
3,10.00000009997494,10.0
4,10.000000099940522,5.000000275079714
5,10.00000009992483,5.00006841305271
6,10.000000099962413,7.9815902714661755
7,10.000000099924831,8.792161829406679
8,5.500000884598961,10.0
9,10.000000099914796,5.000001670710834
10,5.5000019773374245,10.0
11,10.000000099914796,5.0
12,10.000000099900042,5.0
13,5.500000404950328,9.999832940326515
14,5.500038148396072,10.0
15,10.00000009992483,8.089813735607482
