switch_id,state,ps_fr,qs_fr
1,0.0,0.0,0.0
2,1.0,469.5517978434948,-118.4393211497345
3,0.0,0.0,0.0
4,1.0,556.0333757905308,211.66134613320511
5,1.0,287.02063601705976,173.92586121308688
6,1.0,170.0,-335.6125799974538
