switch_id,state,ps_fr,qs_fr
1,1.0,2.4095515810242224e-7,-355.62211317977005
2,1.0,400.0,289.9982172137288
3,0.0,0.0,0.0
4,1.0,608.8395585043272,-7.484848573378075
5,1.0,286.32377285595453,173.41346735034318
6,0.0,0.0,0.0
