load_id,efficiency,palma,min_max,equality_min,proportional
1,10.000000099976821,1.0,9.999999644813679,0.9999999931174759,10.000000097913322
2,10.000000099845023,10.0,9.999997545695033,1.0000000211465703,10.000000089445175
3,10.000000099990908,10.0,10.000000099991647,10.00000009999091,10.000000097496617
4,10.000000099978424,10.0,9.999999744351435,0.9999999943975313,10.000000098554255
5,10.000000099972723,1.6823604731209507,9.999999775492181,0.9999999936295212,10.000000097496791
6,10.000000099986364,5.929108088677608,9.999999857136087,0.9999999920731683,10.000000097494054
7,10.000000099972715,5.8820471014061795,9.999999624538567,0.9999999938475274,10.000000097493267
8,9.000001371683744,1.0,6.0022301631743735,0.9999999927092481,9.000048994023853
9,10.00000009996909,1.0,9.99999949295947,0.9999999941571799,10.000000097216724
10,9.000002373644405,1.0,6.00450146179686,0.9999999948026967,9.000085721194655
11,10.00000009996909,1.0,9.999999493005623,0.9999999941571791,10.000000097216729
12,10.000000099963739,10.0,9.999999502309073,0.9999999974150736,10.000000097550881
13,8.0000004421497,2.9436096311251543,6.999997297334633,0.999999991896879,8.000000721502653
14,9.000014163873075,1.0,6.060506494117502,1.0000000085309537,9.000332791567732
15,10.000000099972743,5.88205251990616,9.999999679207324,0.9999999938479112,10.000000097494876
