alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_cost_weighted,palma_ratio_uncosted
0.0,200.3325006462985,2929.0874647101205,1554.3390879018352,Inf,1.2391725983861366
0.09090909090909091,282.49909730614485,5073.012047134266,1457.8227939721228,2.3856031132246396,1.3212013242294203
0.18181818181818182,282.49909571478605,5073.0120390076145,1457.8227911100028,2.3856031085410234,1.3212013242294203
0.2727272727272727,327.8857268263226,5363.486476063404,1457.8227939721228,2.142670714928873,1.1979058167850554
0.36363636363636365,375.1226190502602,6174.543915548412,1457.8227939721228,1.6703174401791088,1.5401937482513905
0.45454545454545453,375.1226190502602,6174.543915548412,1457.8227939721228,1.6703174401791088,1.5401937482513905
0.5454545454545454,420.7341917889199,6403.057894969096,1457.8227939721228,1.5786857300959876,3.1885306925090657
0.6363636363636364,420.7341917889199,6403.057894969096,1457.8227939721228,1.5786857300959876,3.1885306925090657
0.7272727272727273,420.7341917889199,6403.057894969096,1457.8227939721228,1.5786857300959876,3.1885306925090657
0.8181818181818182,420.7341917889199,6403.057894969096,1457.8227939721228,1.5786857300959876,3.1885306925090657
0.9090909090909091,462.0591017732393,6609.682444890695,1467.0280301959344,1.5403430635374298,Inf
1.0,566.9704648312845,7459.713209119257,1617.608052249145,1.443108419597453,Inf
