load_id,efficiency,proportional,equality_min,min_max,jain
1,1.0869201708012168,1.0813961739598505,0.9999999900795656,1.5945348853451553,2.1848560305043634
2,1.1105956823130247,1.0080092647088852,1.0527335274649794,2.725225476684681,1.0999818188990247
3,1.0000248337446818,1.0668772597232659,1.9154188003237547,1.0000000726043397,4.313265038724722
4,1.111129611542953,1.08387386148648,1.0000182874924477,2.002225681465492,1.0423110226397558
5,1.1007975076518195,1.013846716484579,1.3655970762150915,2.317826443787645,6.105961791076939
6,1.0872241269384428,1.0942365707330302,0.9999999902655605,1.0018578929251187,1.0000172844241895
7,1.0920805530104714,1.081858243880771,1.3000000258453777,1.0448187423210358,1.1053740438363207
8,1.0911705637904228,1.0993160291819444,1.3000000256455255,2.7050564665148262,1.2800506358669408
9,1.0869357341406822,1.0147847647231671,0.9999999901060876,4.11438380311089,1.224930048406683
10,1.0919240883397754,1.0901071795935144,1.7022322117609392,2.7785624716188595,9.95607483905572
11,1.0869288077359867,1.0864716027817536,0.9999999901060875,3.769722974792579,9.949646165923495
12,1.1110509310101473,1.0031284366268685,1.0142403496380328,2.497322671835876,1.0999922569897966
13,1.3985215043123655,1.059552155377318,1.349084339317942,4.235756792941118,5.987771771119592
14,1.0926963823503821,1.0721046775382566,7.733178069436927,2.6940042175234664,5.512929265788175
15,1.1013766208428346,1.1058430157803012,1.8402577763389092,1.4623080314031787,6.034693856839432
