FairnessFunction,MinMax,Proportional,Jain,Palma,Gini
proportional,1039.5000001226995,28.281971742743057,0.14278361445442064,1.3474231516263232e8,0.5441375701476686
efficiency,1039.5000001233675,28.281946469969135,0.14278349967504875,1.284181315947149e8,0.5441373147655334
min_max,1039.5000001220992,28.281802221019163,0.14278302715136676,1.225210010841542e8,0.5441362328597038
jain,1039.5000001196938,28.281163496155443,0.14278114266683684,1.1683558237790614e8,0.5441319117820327
equality_min,1027.6433762896625,71.45567971626251,0.3774479777714952,4.099976658048205,0.7225811674291097
