case,fair_func,total_demand,final_pshed,final_pd_served,pct_shed,pct_served,relaxed_pshed_final,objective
motivation_a,proportional,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_a,efficiency,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_a,min_max,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_a,equality_min,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_a,jain,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_b,proportional,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_b,efficiency,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_b,min_max,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_b,equality_min,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_b,jain,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_c,proportional,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_c,efficiency,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_c,min_max,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_c,equality_min,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
motivation_c,jain,3466.0,NaN,NaN,NaN,NaN,NaN,NaN
