load_id,proportional,efficiency,min_max,equality_min,jain
1,1.0099999899999998,1.0000000851138966,10.1000000861895,0.9999999909571824,10.499970250673385
2,1.0099999899999998,1.0000000440008876,1.0000000979967392,0.999999990073492,1.0003270501916512
3,1.0099999899999998,1.0000000190424436,10.100000095785237,10.000500037501245,10.499997452299352
4,1.0099999899999998,1.0000000096439827,1.0000000077988243,0.9999999900219,1.0000455371643489
5,1.0099999899999998,1.0001970768177668,1.059621904597352,1.0000003412532141,1.0170945650389425
6,1.0099999899999998,10.100000096780954,10.100000095349856,10.000500037498082,10.499988771659455
7,1.0099999899999998,1.0001484177989628,10.099563184321058,1.0000002575942113,1.0205459884734316
8,1.0099999899999998,1.0000058889958052,1.0027559393557048,10.00050003645599,10.498918396947328
9,1.0099999899999998,1.0000000833298663,10.100000067948228,0.999999990344511,10.499940504574852
10,1.0099999899999998,1.0000173182168983,1.0032556985806607,10.00050003436518,10.496805783033892
11,1.0099999899999998,1.0000000829589377,10.100000066814196,0.9999999903151402,10.499935194664493
12,1.0099999899999998,1.0000000040687302,1.0000000158818585,0.9999999900177666,1.000065590776335
13,1.0099999899999998,1.0000000705316616,10.100000086572084,0.9999999911244255,10.499974568542235
14,1.0099999899999998,1.0002259349929428,10.098336679721898,10.000499998114172,10.459142087311527
15,1.0099999899999998,1.0000001207179807,1.0000003503762707,0.9999999903939988,10.499950662154985
