load_id,proportional,efficiency,min_max,equality_min,jain
1,1.0099999899999998,10.099999123201485,10.100000043745418,10.000500037466075,10.499743975742046
2,1.0099999899999998,1.000000118216636,0.999999994889985,0.9999999900062579,1.0000287489763475
3,1.0099999899999998,0.9999999923176,0.9999999949750101,0.9999999900006494,1.0002361731172162
4,1.0099999899999998,10.100000092362311,0.999999991950673,0.9999999900068225,1.0000126342520004
5,1.0099999899999998,1.000210194114747,1.0000008230698603,0.9999999912271648,1.0044096441057702
6,1.0099999899999998,10.100000100686058,10.100000100719143,10.00050003750309,10.4999949583379
7,1.0099999899999998,1.0001563131220779,10.099982598586218,10.00050003631193,10.497692533627493
8,1.0099999899999998,1.0000069825939228,1.0000096002361392,10.000500037173675,10.496686745942831
9,1.0099999899999998,1.0000145513508467,1.0000006102907868,0.9999999900979917,1.003612641931518
10,1.0099999899999998,1.0000211808823127,1.0000580908781793,10.000500036611133,10.492422550765848
11,1.0099999899999998,1.0000105385394398,10.099997533790715,10.000500037180405,10.497698310536668
12,1.0099999899999998,1.000000029357836,0.9999999911447177,0.9999999900015138,1.0000066147424223
13,1.0099999899999998,1.0000841490263603,1.0000008503225588,10.000500037399853,1.0075295812914564
14,1.0099999899999998,1.0003531056851054,1.0001667998097683,10.000500013417026,2.4733770074450447
15,1.0099999899999998,10.099999831680671,10.100000100607339,10.000500037502611,10.499998089786619
