load_id,efficiency,min_max,palma,jain,equality_min,proportional
1,10.000000099922778,9.999994604590253,1.0,1.0000009296511723,0.9999999900986524,10.000000079133438
2,10.000000099483769,9.999927583593886,10.0,1.000059504962599,0.9999999910052889,9.999999994458754
3,10.00000009996971,10.00000009991648,10.0,9.999999868185977,10.000000099997123,10.000000074967778
4,10.000000099928132,9.999990237549344,10.0,1.0000070233979272,0.9999999901391741,10.000000085543597
5,10.000000099909135,9.999995626003155,1.6822969986596608,1.0000010646510655,0.9999999901148608,10.00000007496872
6,10.000000099954567,9.999998735950857,1.0,1.0000007786906546,0.9999999900656019,10.000000074941564
7,10.000000099909009,8.50001868829378,1.0,1.000001246449966,0.9999999901217625,10.000000074922381
8,9.000003066954509,9.226439749097969,1.0,1.0000007387162622,0.9999999900857311,9.000472800024308
9,10.000000099897019,9.999992793955615,1.0,1.0000012420298032,0.9999999901315664,10.000000072167515
10,9.000006300040916,9.362649179886985,1.0,1.000001315240255,0.999999990152007,9.00083745902499
11,10.000000099897019,9.99999273740015,1.0,1.0000012420295377,0.9999999901315664,10.000000072167575
12,10.000000099879214,9.999983568381445,10.0,1.0000129806888591,0.9999999902348068,10.000000075510556
13,8.00000044725983,9.001465776736582,1.0882353503496578,1.0000005949420885,0.9999999900600233,8.000003383602994
14,9.000044342039194,9.781731171573464,1.0,1.000005026516014,0.999999990590129,9.001858584358311
15,10.000000099909252,9.500023613080671,1.0,1.0000012465240073,0.9999999901217747,10.000000074959594
