load_id,efficiency,proportional,equality_min,min_max,jain,palma
1,10.000000099936104,1.0099999899999998,16.303246924769393,1.7383720656383956,1.0000009159734393,10.0
2,3.000000069942445,1.0099999899999998,10.000000099977083,1.7384171891890894,1.0000455026936363,10.0
3,10.00000009997494,1.0099999899999998,10.751956288568119,4.476966014995322,9.73520278380168,10.0
4,3.000000078603034,1.0099999899999998,12.79845361531481,1.7383647778361988,1.0000218017349534,10.0
5,3.0000000783465444,1.0099999899999998,3.4835459751484814,1.7383937008643293,1.0000010486759277,10.0
6,10.00000009996242,1.0099999899999998,8.257281481312003,1.7383297386076644,1.0000007822577628,10.0
7,10.000000099924835,1.0099999899999998,12.766072693074646,1.4216780808172982,1.000001237283719,10.0
8,3.0000004893707635,1.0099999899999998,10.000000098208343,1.7384457662554456,9.998909424989547,10.0
9,10.000000099914791,1.0099999899999998,10.00000009996871,1.738385557873258,1.000001224977983,10.0
10,3.000001260265364,1.0099999899999998,10.000000094830227,1.7384370250868109,9.996869414475949,10.0
11,10.000000099914791,1.0099999899999998,10.000000099957887,1.73838546218061,1.000001224978168,10.0
12,3.0000000776554754,1.0099999899999998,12.793041287164579,1.7383896646767405,1.0000446042973905,10.0
13,2.5000001506968754,1.0099999899999998,0.9999999900059707,1.7385278853456818,9.999904520777903,10.0
14,3.0000345351695707,1.0099999899999998,9.999999957584603,1.7384282994307985,9.933254444326483,10.0
15,3.0000000781104283,1.0099999899999998,9.226291575624964,1.7383530571654024,1.0000012374682845,10.0
