Formulation,TotalServed_pct,TotalShed_kW,MaxBusShed_pct,ShedVariance_pct,JainsIndex,PalmaRatio,GiniCoeff,CV_Served
Equality Min,32.54,2338.0,100.0,2777.78,0.4741,Inf,0.5634,1.117
Palma Ratio,32.54,2338.0,100.0,2777.78,0.4741,Inf,0.5634,1.117
