load_id,efficiency,proportional,equality_min,min_max,jain,palma
1,10.000000099925856,1.0099999899999998,8.598448474576584,1.483394684191021,1.0000003397659005,10.0
2,10.000000099515361,1.0099999899999998,10.000000099847856,1.4800240387389598,1.0000092224391095,10.0
3,10.00000009997494,1.0099999899999998,18.630751649225136,4.490715008500421,10.000000089443486,10.0
4,10.000000099932464,1.0099999899999998,16.365823187259483,1.4847560963327018,1.0000012494934425,10.0
5,4.000000207897616,1.0099999899999998,11.428967491969999,1.4707096755145845,1.000000220567847,10.0
6,10.000000099972908,1.0099999899999998,10.584311979823232,1.4875034444936688,1.0000007131694235,10.0
7,5.500000304232477,1.0099999899999998,15.288219736684178,1.4875336830893517,1.8458573280439419,10.0
8,5.500000842407072,1.0099999899999998,9.989301351581519,1.4812666035437971,9.999485520604036,10.0
9,10.000000099901122,1.0099999899999998,11.30350991316899,1.482593564383801,1.0000004563234233,10.0
10,5.500001601362336,1.0099999899999998,9.01184337399002,1.4800721374642927,9.99850422797419,10.0
11,10.000000099901136,1.0099999899999998,9.28045044260849,1.4826055481898275,1.0000004564302318,10.0
12,10.000000099886535,1.0099999899999998,30.160542183609632,1.4835746748610592,1.0000021309689207,10.0
13,5.500000365894537,1.0099999899999998,7.133091873784765,1.4856517466279608,9.99991684881082,10.0
14,5.500016406983036,1.0099999899999998,9.808568144941827,1.4788018034260133,9.969066863595925,10.0
15,10.000000099913652,1.0099999899999998,13.060770939845876,1.4838931636459152,1.0000004831635787,10.0
