bus_id,vm_avg,z_voltage
1,0.8796766920672452,0.7646519551112345
2,0.8796766956446325,0.7646519608457067
3,0.8865240355274514,0.7773876936864557
4,0.8794491552155007,0.7643561626262244
5,0.8865189094222572,0.7773807033855848
6,0.898781091960874,0.7949376137344121
7,0.8841767117477212,0.7718910880161631
8,0.8894998021968609,0.7805344825408083
9,0.8894998119280174,0.7805344986255548
10,0.889499804676726,0.7805344869677847
11,0.8796837131602243,0.7646632023764242
12,0.8859759032787206,0.7769295129561163
13,0.8888463926540228,0.7794875211378317
14,0.8841848137890991,0.7719039682301516
15,0.8894998119280167,0.7805344981476499
16,0.8894998119280166,0.7805344981335977
