load_id,efficiency,proportional,min_max,equality_min,jain
1,1.00015376130235,1.0099999899999998,4.018307489521381,1.0000037140839462,3.222068473452692
2,1.0279118175602866,1.0099999899999998,4.016456051391213,9.070235692964935,9.999882425874267
3,1.0001413129500334,1.0099999899999998,4.009470322522581,9.066694528900303,4.006601331063086
4,1.001944146858772,1.0099999899999998,4.015639389085541,9.0087480071663,3.3568088732447223
5,1.0002096688367779,1.0099999899999998,4.019727540955607,9.01883764239983,9.991961586050119
6,1.0001912147011416,1.0099999899999998,3.997173142992105,9.090309994443508,1.0000681998731833
7,1.00050486684159,1.0099999899999998,4.028533516678248,1.0000377257191781,1.0003316089466647
8,1.000552977381081,1.0099999899999998,4.014628821525541,1.0000321128330618,1.0002539848110925
9,1.0002049597479399,1.0099999899999998,4.0178779553431525,9.184130688510853,1.0003300689964059
10,1.0010005221265312,1.0099999899999998,4.015483069342382,9.045121666427827,3.444837036037005
11,1.0002049599001295,1.0099999899999998,4.017877956225882,9.015054027380348,9.999455778299753
12,1.0038326468910919,1.0099999899999998,4.01602126304381,9.165639007743252,9.999930549121256
13,9.999970043766297,1.0099999899999998,4.014116743161337,9.094784159718934,5.470673223697334
14,1.005585757866676,1.0099999899999998,4.016304242702831,9.999999681326793,1.0072017016197299
15,1.0004042374081137,1.0099999899999998,4.031058506967632,9.178205779444301,1.0298903349142177
