load_id,efficiency,proportional,min_max,equality_min,jain
1,1.000197147427637,1.0099999899999998,4.016230478670054,1.0000049799410295,3.181147451368033
2,1.0023898686884756,1.0099999899999998,4.01662778632209,9.061958240622376,9.999130394427342
3,1.0001125462095422,1.0099999899999998,4.015267427029068,9.064009824779827,3.9768315945126114
4,1.0003366931743005,1.0099999899999998,4.016864164658977,9.008733911400912,3.2860999742669104
5,1.0003200196521889,1.0099999899999998,4.017051406225146,9.009893745247977,9.928016627396358
6,1.0001968882681904,1.0099999899999998,4.023341005118343,9.090624381512155,1.0012829131323817
7,1.0002900895876894,1.0099999899999998,4.014119748274548,1.0000367012575926,1.0009782634902262
8,1.0004188382376642,1.0099999899999998,4.016163720585284,1.0000170804111919,1.001863904824121
9,1.0002628463428647,1.0099999899999998,4.016320179019976,9.185552115830049,1.0024096691358257
10,1.000742205724016,1.0099999899999998,4.016349150101367,9.03753936644819,3.2877597134991983
11,1.0002628465184027,1.0099999899999998,4.016320178927191,9.006540617074227,9.9961029204863
12,1.0005629426169904,1.0099999899999998,4.016753631817013,9.16699711501814,9.999486389160166
13,9.999249542031402,1.0099999899999998,4.016838259870499,9.095507202351458,5.4647987049677775
14,1.002863517914324,1.0099999899999998,4.0165273837528,9.999999518941326,1.0521565948356142
15,1.0009993011175058,1.0099999899999998,4.014053057709526,9.179310013260135,1.0016266071256446
