bus_id,vm_avg,z_voltage
1,1.0309568040080344,0.9796965109372234
2,1.030956808200824,0.9796965158217179
3,1.037136443584027,0.9987903719298477
4,1.0307349673590809,0.9797838726607309
5,1.0371309917242302,0.9987886546602917
6,1.0488643347251467,0.9987625062667994
7,1.035125247221221,0.9848630821351574
8,1.0402390917022897,0.9928524059960552
9,1.0402391014432408,0.9928524199621821
10,1.040239091108542,0.9928523968249603
11,1.0309632777674924,0.9797040770938149
12,1.03656953083908,0.9999999969144112
13,1.0402391056790943,0.9928524259054593
14,1.0351330514867298,0.9848715516179802
15,1.0402390996617659,0.9928524110251813
16,1.0402391014432577,0.9928524200089225
