load,tradeoff,bilevel,diff
l7,8.22,9.84,1.62
l6,20.52,24.44,3.91
l8,22.01,13.94,-8.07
l2,11.25,15.01,3.76
l4,9.67,-0.0,-9.67
l5,16.47,19.72,3.26
l3,22.56,30.75,8.18
l9,8.38,-0.0,-8.38
l1,18.54,25.05,6.51
