period,hour,tradeoff,bilevel
1,4,4.21,5.74
2,6,14.28,13.94
3,8,20.01,22.49
4,12,25.68,27.2
5,15,23.02,25.56
6,18,24.5,21.13
7,20,17.58,14.81
8,22,8.35,7.86
