alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_ratio
0.0,43.6,598.3732,598.3732,1.5450643776824033
0.2,43.6,598.3732,598.3732,1.5450643776824033
0.4,44.97999995506511,605.2869986519534,605.287003229545,1.3453284937699965
0.6,45.68,617.3059999999999,617.3059999999999,1.1455926048200729
0.8,45.679999656738154,617.30599622294,617.3059983036876,1.1455926048200729
1.0,427.46,5175.0672,1133.847,Inf
