alpha,period,lambda,load_scale,total_shed,max_shed
0.0,1,5.0,0.7,0.0,0.0
0.0,2,5.0,0.713,0.0,0.0
0.0,3,5.0,0.726,0.0,0.0
0.0,4,5.0,0.739,0.0,0.0
0.0,5,5.0,0.752,0.0,0.0
0.0,6,5.0,0.765,0.0,0.0
0.0,7,5.0,0.778,0.0,0.0
0.0,8,5.0,0.791,0.0,0.0
0.0,9,5.01,0.804,84.42,84.42
0.0,10,5.04,0.817,85.785,85.785
0.0,11,5.15,0.83,228.25,141.1
0.0,12,5.5,0.843,276.504,107.904
0.0,13,6.4,0.857,281.096,109.696
0.0,14,8.38,0.87,285.36,111.36
0.0,15,11.95,0.883,316.11400000000003,203.09
0.0,16,17.17,0.896,320.76800000000003,206.08
0.0,17,23.15,0.909,393.597,116.352
0.0,18,28.08,0.922,399.226,118.016
0.0,19,30.0,0.935,467.5,467.5
0.0,20,28.08,0.948,520.452,151.68
0.0,21,23.15,0.961,581.405,480.5
0.0,22,17.17,0.974,589.27,487.0
0.0,23,11.95,0.987,624.771,227.01
0.0,24,8.38,1.0,633.0,230.0
0.2,1,5.0,0.7,0.0,0.0
0.2,2,5.0,0.713,0.0,0.0
0.2,3,5.0,0.726,0.0,0.0
0.2,4,5.0,0.739,0.0,0.0
0.2,5,5.0,0.752,0.0,0.0
0.2,6,5.0,0.765,0.0,0.0
0.2,7,5.0,0.778,0.0,0.0
0.2,8,5.0,0.791,0.0,0.0
0.2,9,5.01,0.804,84.42,84.42
0.2,10,5.04,0.817,85.785,85.785
0.2,11,5.15,0.83,228.25,141.1
0.2,12,5.5,0.843,276.504,107.904
0.2,13,6.4,0.857,281.096,109.696
0.2,14,8.38,0.87,285.36,111.36
0.2,15,11.95,0.883,316.11400000000003,203.09
0.2,16,17.17,0.896,320.76800000000003,206.08
0.2,17,23.15,0.909,393.597,116.352
0.2,18,28.08,0.922,399.226,118.016
0.2,19,30.0,0.935,467.5,467.5
0.2,20,28.08,0.948,520.452,151.68
0.2,21,23.15,0.961,581.405,480.5
0.2,22,17.17,0.974,589.27,487.0
0.2,23,11.95,0.987,624.771,227.01
0.2,24,8.38,1.0,633.0,230.0
0.4,1,5.0,0.7,0.0,0.0
0.4,2,5.0,0.713,0.0,0.0
0.4,3,5.0,0.726,0.0,0.0
0.4,4,5.0,0.739,0.0,0.0
0.4,5,5.0,0.752,0.0,0.0
0.4,6,5.0,0.765,0.0,0.0
0.4,7,5.0,0.778,0.0,0.0
0.4,8,5.0,0.791,0.0,0.0
0.4,9,5.01,0.804,84.42,84.42
0.4,10,5.04,0.817,85.785,85.785
0.4,11,5.15,0.83,228.25,141.1
0.4,12,5.5,0.843,276.504,107.904
0.4,13,6.4,0.857,281.096,109.696
0.4,14,8.38,0.87,285.36,111.36
0.4,15,11.95,0.883,316.11400000000003,203.09
0.4,16,17.17,0.896,320.76800000000003,206.08
0.4,17,23.15,0.909,393.597,116.352
0.4,18,28.08,0.922,399.226,118.016
0.4,19,30.0,0.935,467.5,467.5
0.4,20,28.08,0.948,520.452,151.68
0.4,21,23.15,0.961,581.405,480.5
0.4,22,17.17,0.974,589.27,487.0
0.4,23,11.95,0.987,624.771,227.01
0.4,24,8.38,1.0,633.0,230.0
0.6,1,5.0,0.7,0.0,0.0
0.6,2,5.0,0.713,0.0,0.0
0.6,3,5.0,0.726,0.0,0.0
0.6,4,5.0,0.739,0.0,0.0
0.6,5,5.0,0.752,0.0,0.0
0.6,6,5.0,0.765,0.0,0.0
0.6,7,5.0,0.778,0.0,0.0
0.6,8,5.0,0.791,0.0,0.0
0.6,9,5.01,0.804,84.42,84.42
0.6,10,5.04,0.817,85.785,85.785
0.6,11,5.15,0.83,228.25,141.1
0.6,12,5.5,0.843,276.504,107.904
0.6,13,6.4,0.857,281.096,109.696
0.6,14,8.38,0.87,285.36,111.36
0.6,15,11.95,0.883,316.11400000000003,203.09
0.6,16,17.17,0.896,320.76800000000003,206.08
0.6,17,23.15,0.909,393.597,116.352
0.6,18,28.08,0.922,399.226,118.016
0.6,19,30.0,0.935,467.5,467.5
0.6,20,28.08,0.948,520.452,151.68
0.6,21,23.15,0.961,581.405,480.5
0.6,22,17.17,0.974,589.27,487.0
0.6,23,11.95,0.987,624.771,227.01
0.6,24,8.38,1.0,633.0,230.0
0.8,1,5.0,0.7,0.0,0.0
0.8,2,5.0,0.713,0.0,0.0
0.8,3,5.0,0.726,0.0,0.0
0.8,4,5.0,0.739,0.0,0.0
0.8,5,5.0,0.752,0.0,0.0
0.8,6,5.0,0.765,0.0,0.0
0.8,7,5.0,0.778,0.0,0.0
0.8,8,5.0,0.791,0.0,0.0
0.8,9,5.01,0.804,84.42,84.42
0.8,10,5.04,0.817,85.785,85.785
0.8,11,5.15,0.83,228.25,141.1
0.8,12,5.5,0.843,276.504,107.904
0.8,13,6.4,0.857,281.096,109.696
0.8,14,8.38,0.87,285.36,111.36
0.8,15,11.95,0.883,316.11400000000003,203.09
0.8,16,17.17,0.896,320.76800000000003,206.08
0.8,17,23.15,0.909,393.597,116.352
0.8,18,28.08,0.922,399.226,118.016
0.8,19,30.0,0.935,467.5,467.5
0.8,20,28.08,0.948,520.452,151.68
0.8,21,23.15,0.961,581.405,480.5
0.8,22,17.17,0.974,589.27,487.0
0.8,23,11.95,0.987,624.771,227.01
0.8,24,8.38,1.0,633.0,230.0
1.0,1,5.0,0.7,558.6,350.0
1.0,2,5.0,0.713,121.21,121.21
1.0,3,5.0,0.726,828.366,352.11
1.0,4,5.0,0.739,0.0,0.0
1.0,5,5.0,0.752,710.6400000000001,376.0
1.0,6,5.0,0.765,955.4849999999999,382.5
1.0,7,5.0,0.778,264.52,132.26
1.0,8,5.0,0.791,1244.2430000000002,395.5
1.0,9,5.01,0.804,903.6959999999999,402.0
1.0,10,5.04,0.817,836.608,187.91
1.0,11,5.15,0.83,394.25,141.1
1.0,12,5.5,0.843,276.504,107.904
1.0,13,6.4,0.857,1589.735,415.645
1.0,14,8.38,0.87,633.36,200.1
1.0,15,11.95,0.883,907.724,441.5
1.0,16,17.17,0.896,768.768,448.0
1.0,17,23.15,0.909,848.0970000000001,454.5
1.0,18,28.08,0.922,399.226,118.016
1.0,19,30.0,0.935,626.45,467.5
1.0,20,28.08,0.948,681.612,161.16
1.0,21,23.15,0.961,1718.268,480.5
1.0,22,17.17,0.974,1144.4499999999998,487.0
1.0,23,11.95,0.987,1147.881,493.5
1.0,24,8.38,1.0,1003.0,230.0
