case,fair_func,period,n_feasible_samples,total_load_shed,best_mld_obj,any_ac_feasible
motivation_c,efficiency,4,1,2263.7621949798577,15488.378204959743,true
motivation_c,efficiency,1,1,1172.884551864494,14266.154623582315,true
motivation_c,efficiency,2,1,1627.298628065039,14921.013868132017,true
motivation_c,efficiency,6,1,2635.9781840083488,15232.21831210834,true
motivation_c,efficiency,11,1,2263.7621949798577,15488.378204959743,true
motivation_c,efficiency,5,1,2635.9781840083488,15232.21831210834,true
motivation_c,efficiency,7,1,2478.7520845636823,15071.479304950444,true
motivation_c,efficiency,8,1,2108.3268473038693,15309.73167993468,true
motivation_c,efficiency,10,1,1934.0262694574262,15319.737458270041,true
motivation_c,efficiency,0,1,722.7787588524541,13568.212546796542,true
motivation_c,efficiency,9,1,1780.6612292923658,15120.38785788982,true
motivation_c,efficiency,3,1,1934.0262694574262,15319.737458270041,true
motivation_c,min_max,4,1,3170.4829769551475,3531.6436209759368,true
motivation_c,min_max,1,1,1995.0385691459846,3324.5378919814616,false
motivation_c,min_max,2,1,2579.3999952854,2970.0000310997184,true
motivation_c,min_max,6,1,3496.9982530388797,3642.1096166429566,true
motivation_c,min_max,11,1,3170.4829769551475,3531.6436209759368,true
motivation_c,min_max,5,1,3496.9982530388797,3642.1096166429566,true
motivation_c,min_max,7,1,3333.7406106529343,3586.8766348616678,true
motivation_c,min_max,8,1,3009.2999944523513,3465.000036428765,true
motivation_c,min_max,10,1,2865.9999946332537,3300.000024707176,true
motivation_c,min_max,0,1,1527.274825876361,3037.7884435864553,false
motivation_c,min_max,9,1,2722.6999946449264,3135.000024883455,true
motivation_c,min_max,3,1,2865.9999946332537,3300.000024707176,true
motivation_c,equality_min,4,1,3592.6000001667385,219.999997634067,true
motivation_c,equality_min,1,1,2449.5000002117326,149.99999827047623,true
motivation_c,equality_min,2,1,2939.3999995865142,179.99999861443845,true
motivation_c,equality_min,6,1,3919.2000002964746,240.00002216109272,true
motivation_c,equality_min,11,1,3592.6000001667385,219.999997634067,true
motivation_c,equality_min,5,1,3919.2000002964746,240.00002216109272,true
motivation_c,equality_min,7,1,3755.899999407692,229.99999829933813,true
motivation_c,equality_min,8,1,3429.3000002777717,210.0000195574048,true
motivation_c,equality_min,10,1,3265.9999995007056,199.99999850010846,true
motivation_c,equality_min,0,1,1959.6000002176759,119.9999985827671,true
motivation_c,equality_min,9,1,3102.69999954388,189.99999855687258,true
motivation_c,equality_min,3,1,3265.9999995007056,199.99999850010846,true
motivation_c,proportional,4,1,2263.76219510508,15488.361353818327,true
motivation_c,proportional,1,1,1283.4184943990265,13160.798833035984,false
motivation_c,proportional,2,1,1627.2990808695488,14799.564496440129,true
motivation_c,proportional,6,1,2578.1914139156515,15810.065510081411,true
motivation_c,proportional,11,1,2263.76219510508,15488.361353818327,true
motivation_c,proportional,5,1,2578.1914139156515,15810.065510081411,true
motivation_c,proportional,7,1,2420.9756132879047,15649.22534510602,true
motivation_c,proportional,8,1,2108.3277548380925,15309.703914700145,true
motivation_c,proportional,10,1,1934.0267244914917,15230.113863296468,true
motivation_c,proportional,0,1,722.7787594117814,13466.203822054127,true
motivation_c,proportional,9,1,1780.6616844266305,15014.851316352919,true
motivation_c,proportional,3,1,1934.0267244914917,15230.113863296468,true
motivation_c,jain,4,1,3592.6000001667385,219.9999992007538,true
motivation_c,jain,1,1,2449.499998846521,150.00000072247957,true
motivation_c,jain,2,1,2939.3999995865224,179.9999998962647,true
motivation_c,jain,6,1,3919.2000002964837,240.00002387019526,true
motivation_c,jain,11,1,3592.6000001667385,219.9999992007538,true
motivation_c,jain,5,1,3919.2000002964837,240.00002387019526,true
motivation_c,jain,7,1,3755.899999407683,229.99999993716,true
motivation_c,jain,8,1,3429.3000002777717,210.0000210528786,true
motivation_c,jain,10,1,3265.9999995007056,199.99999992436938,true
motivation_c,jain,0,1,1959.600000203727,119.99999945122492,true
motivation_c,jain,9,1,3102.6999995438537,189.99999990996838,true
motivation_c,jain,3,1,3265.9999995007056,199.99999992436938,true
motivation_c,palma,4,1,3592.5999974204396,1100.0000128978045,true
motivation_c,palma,1,1,2449.4999988496725,750.0000057516385,true
motivation_c,palma,2,1,2939.399997951604,900.0000102419856,true
motivation_c,palma,6,1,3919.1999971634295,1200.0000141828518,true
motivation_c,palma,11,1,3592.5999974204396,1100.0000128978045,true
motivation_c,palma,5,1,3919.1999971634295,1200.0000141828518,true
motivation_c,palma,7,1,3755.8999972920665,1150.0000135396654,true
motivation_c,palma,8,1,3429.2999975484986,1050.0000122575032,true
motivation_c,palma,10,1,3265.999998031957,1000.0000098402135,false
motivation_c,palma,0,1,1959.599998956207,600.0000052189637,false
motivation_c,palma,9,1,3102.6999978176223,950.0000109118878,true
motivation_c,palma,3,1,3265.999998031957,1000.0000098402135,false
