load_id,efficiency,proportional,equality_min,min_max,jain,palma
1,10.000000099936145,1.0099999899999998,5.215966770543894,2.121268587365687,1.000000348692608,10.0
2,10.000000099573594,1.0099999899999998,10.000000099791427,2.1212282422053836,1.0000113677364324,10.0
3,10.00000009997494,1.0099999899999998,9.056206365900815,4.464047168597374,10.000000089160093,10.0
4,10.000000099940614,1.0099999899999998,16.06214558599141,2.1212557506023333,1.0000015133929034,10.0
5,10.000000099924941,1.0099999899999998,0.9999999900329475,2.1214387641342225,1.000000401774497,10.0
6,10.000000099962387,1.0099999899999998,8.229121379472257,2.121296121705704,1.0000002771066538,10.0
7,10.000000099924579,1.0099999899999998,12.630457246900015,2.121261747276414,1.0000004627673904,10.0
8,3.0000005964209877,1.0099999899999998,10.000000095845229,2.121312927705392,9.999555713111366,10.0
9,10.000000099914846,1.0099999899999998,0.9999999911942077,2.1212588819715554,1.0000004683850394,10.0
10,3.0000015877586015,1.0099999899999998,10.000000093050186,2.1212770040011493,9.99872965588284,10.0
11,10.000000099914846,1.0099999899999998,10.000000099808672,2.121258893931247,1.0000004683853876,10.0
12,10.000000099900197,1.0099999899999998,10.000000100025463,2.1212444365120975,1.0000026199642649,10.0
13,3.000000121722107,1.0099999899999998,4.698158135459859,2.121299915185937,9.999959467341307,10.0
14,3.0000191874051056,1.0099999899999998,9.999999911074442,2.1212414312915895,9.975139282737425,10.0
15,10.000000099924955,1.0099999899999998,9.540766705478196,2.121279188855732,1.000000462918961,10.0
