metric,initial,final,improvement
Palma Ratio,5.975103456522013,5.794741753586909,3.018553640912006
Gini Index,0.6861234132262425,0.6882810147417802,-0.31446259870252075
Jain's Index,0.3231324891931608,0.32558875688375827,-0.760142595605477
Min-Max Range,1004.9999948416543,1004.9986633525397,0.00013248647974379432
