alpha,agg_total_shed,cost_weighted_shed,cost_weighted_max,palma_ratio
0.0,352.87472893298263,4658.797837895212,1307.6458711230296,2.11299320208407
0.05263157894736842,352.87472893298263,4658.797837895212,1307.6458711230296,2.11299320208407
0.10526315789473684,352.87472893298263,4658.797837895212,1307.6458711230296,2.11299320208407
0.15789473684210525,352.87472893298263,4658.797837895212,1307.6458711230296,2.11299320208407
0.21052631578947367,352.87472893298263,4658.797837895212,1307.6458711230296,2.11299320208407
0.2631578947368421,352.5220580657384,4656.369415509478,1299.564889936327,1.9502023197228406
0.3157894736842105,352.52196363911514,4656.368685456705,1299.5652580529745,1.9502023298042317
0.3684210526315789,352.52194317811274,4656.3685215962105,1299.5640548119356,1.950201977306733
0.42105263157894735,352.5219408100137,4656.368473082371,1299.564042188949,1.9502019750888802
0.47368421052631576,352.5219408100137,4656.368473082371,1299.564042188949,1.9502019750888802
0.5263157894736842,352.53818890193855,4656.4501891694645,1300.3719138605495,1.9489703743372075
0.5789473684210527,352.65439822302204,4657.030847828476,1314.1358433655957,1.9419441143671872
0.631578947368421,352.65439822302204,4657.030847828476,1314.1358433655957,1.9419441143671872
0.6842105263157895,352.65439822302204,4657.030847828476,1314.1358433655957,1.9419441143671872
0.7368421052631579,353.7437545273964,4662.924190350926,1284.2246976326162,1.9044204890388472
0.7894736842105263,361.4576461966929,4707.061778948663,1400.5834292274417,1.7113350802359284
0.8421052631578947,380.4393367658927,4811.2930258483575,1559.6003637785282,1.4124142012246943
0.8947368421052632,409.2012402320421,5011.233241662773,1902.2284933075957,1.003622390768109
0.9473684210526315,410.6603808506519,5017.874958179798,1905.715830420627,0.9913926294634711
1.0,1679.9999997934067,19752.903234933292,4259.713947807402,Inf
