case,fair_func,total_demand,total_pshed,total_pd_served,pct_shed,pct_served,objective
motivation_a,efficiency,3466.0,693.1999723588294,2772.800027641171,19.99999920250518,80.00000079749483,27728.00027641171
motivation_a,equality_min,3466.0,693.1999983284229,2772.800001671577,19.999999951772153,80.00000004822783,0.19999999951772163
motivation_a,proportional,3466.0,743.3577208652486,2722.6422791347513,21.44713562796447,78.55286437203553,74.12681632155426
motivation_a,jain,3466.0,693.1999723639435,2772.8000276360563,19.999999202652727,80.00000079734727,2705.1858292556926
motivation_b,efficiency,3466.0,693.1999723588292,2772.8000276411713,19.99999920250517,80.00000079749483,27728.00027641171
motivation_b,equality_min,3466.0,693.2000014529781,2772.7999985470215,20.00000004192089,79.99999995807909,0.2000000004192089
motivation_b,proportional,3466.0,760.3999530413934,2705.6000469586065,21.938833036393348,78.06116696360665,74.16897998340075
motivation_b,jain,3466.0,693.1999723639434,2772.8000276360567,19.999999202652724,80.00000079734728,2705.1858295409943
motivation_c,efficiency,3466.0,693.1999723588294,2772.8000276411703,19.99999920250518,80.00000079749482,27728.00027641171
motivation_c,proportional,3466.0,760.3999400051332,2705.6000599948666,21.938832660275047,78.06116733972495,74.1689799695206
motivation_c,jain,3466.0,693.1999723053551,2772.800027694645,19.99999920096235,80.00000079903765,2705.185830287872
