Iteration,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,346.5999688920416,346.58962250364254
2,455.10423999010993,454.20160569227477
3,455.170084547452,456.41230152012525
4,455.13230829238785,458.03258365525636
5,455.1230642487894,455.23458914702957
6,455.1227778187578,455.1017984692615
7,455.12277720207953,455.11369382251195
8,455.12277802356465,455.10398661874166
9,455.1227790741503,455.1166412680003
10,455.1227791003058,455.11604234281685
