Iteration,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,346.5999688920416,346.5921467387131
2,455.1227755145266,454.06639455030665
3,455.1227765003161,455.27575980575165
4,455.12277650573844,455.2753615308081
5,455.1227765036352,455.2749698831426
6,455.12277650878883,455.2745738773043
7,455.1227765193005,455.27417461526653
8,455.1227765175997,455.2737820773601
9,455.12277652152716,455.2733902253996
10,455.1227765251597,455.2730024869999
