Iteration,Lower_Level_Load_Shed,Upper_Level_Load_Shed
1,346.5999688920416,346.59387898701397
2,358.04858245921497,336.7156094056261
3,455.15838816008693,454.83203101838916
4,1705.1870212181962,1705.1877592561677
5,1783.3456035019187,1783.3483526415753
6,1690.7651445627935,1690.7643110897695
7,1699.3226988010772,1699.323127522717
8,1702.3103784923621,1702.3109325702585
9,1702.694645037441,1702.7912893341384
10,457.3165701164413,459.3624973880189
