case,fair_func,period,n_feasible_samples,total_load_shed,best_mld_obj,any_ac_feasible
motivation_c,efficiency,1,2,1970.8366576114568,14751.634717741943,true
motivation_c,efficiency,0,2,1420.8971658422095,13359.029392237922,false
motivation_c,efficiency,2,2,1643.7871565116059,14576.129612146933,true
motivation_c,palma,1,2,3265.999999500706,200.00001705695428,false
motivation_c,palma,0,2,2612.799999665272,160.00001299851326,false
motivation_c,palma,2,2,2939.399999586516,180.00001499284383,false
motivation_c,min_max,1,2,2027.3654890169992,13611.572951133996,true
motivation_c,min_max,0,2,1420.8971622594515,12899.210605661136,false
motivation_c,min_max,2,2,1695.8619352995415,13538.085744507789,true
motivation_c,equality_min,1,2,3265.9999995007056,199.99999852591395,false
motivation_c,equality_min,0,2,2612.799999665272,159.9999987560066,false
motivation_c,equality_min,2,2,2939.3999995865142,179.99999863766334,false
motivation_c,proportional,1,2,1970.8366544592695,14751.722587979031,true
motivation_c,proportional,0,2,1420.8971621771805,13359.099698599312,false
motivation_c,proportional,2,2,1643.7871528143576,14576.208702909293,true
